,A1,A2,D1,B1,B2,C1,C2
0,3.11,-1.14,0.0,0.08,-1.61,-2.41,-1.53
1,2.13,0.93,1.0,2.75,-1.63,0.4,1.12
2,1.02,0.23,1.0,2.85,-0.6,2.81,2.25
3,1.86,-0.01,1.0,2.36,0.03,2.36,2.39
4,1.25,0.01,1.0,1.17,0.02,0.79,1.18
5,3.52,-1.77,1.0,1.98,11.7,13.69,13.69
6,1.58,-0.4,1.0,2.03,-0.46,1.3,1.57
7,1.85,0.22,1.0,2.88,0.13,3.07,3.01
8,-0.3,-0.66,1.0,-1.17,-0.04,-0.79,-1.21
9,1.47,0.62,0.0,2.15,0.73,3.86,2.88
10,2.79,0.05,1.0,3.16,0.3,3.63,3.46
11,1.35,0.22,1.0,1.61,0.26,2.12,1.88
12,2.1,1.0,1.0,2.7,-3.09,-1.52,-0.39
13,2.27,0.28,0.0,0.91,0.46,-0.29,1.37
14,2.12,0.46,1.0,1.69,1.76,3.41,3.46
15,1.2,-1.02,1.0,0.49,0.19,0.16,0.69
16,2.43,0.94,1.0,3.35,3.22,6.86,6.58
17,-0.4,1.18,1.0,-0.02,-0.03,-0.42,-0.05
18,3.01,0.46,1.0,2.93,-0.01,2.19,2.92
19,0.74,0.57,1.0,1.67,-0.29,1.94,1.38
20,2.78,1.39,1.0,4.62,-0.47,2.36,4.14
21,1.03,-0.25,1.0,0.75,0.08,2.99,0.83
22,1.3,1.03,1.0,2.99,-1.27,0.87,1.71
23,2.83,-0.33,1.0,0.42,0.67,-2.18,1.09
24,1.54,3.09,0.0,5.75,10.84,17.79,16.59
25,0.43,0.26,1.0,-0.1,0.1,0.89,-0.0
26,2.31,-0.47,1.0,3.05,0.56,3.59,3.61
27,2.64,-0.36,1.0,3.71,2.1,5.75,5.81
28,3.14,0.01,1.0,5.03,0.01,4.68,5.04
29,3.81,-1.85,1.0,2.35,7.15,9.29,9.5
30,2.48,0.24,0.0,2.32,0.65,2.76,2.97
31,2.88,0.28,0.0,2.53,-0.0,2.18,2.52
32,2.35,1.09,1.0,2.03,1.02,2.43,3.05
33,1.13,-1.11,1.0,-0.45,0.61,-0.37,0.17
34,1.17,-0.52,1.0,0.58,-0.04,-0.94,0.54
35,2.75,-1.38,1.0,1.39,-1.2,-0.07,0.2
36,2.33,-0.71,1.0,2.59,1.07,3.5,3.66
37,1.94,-0.43,0.0,2.58,1.24,4.95,3.82
38,2.0,-0.22,1.0,1.06,-0.57,0.34,0.49
39,0.81,0.75,1.0,2.72,0.01,0.26,2.73
40,0.44,-1.17,1.0,0.99,1.1,3.4,2.09
41,0.03,-1.18,1.0,-1.49,-0.04,-1.07,-1.53
42,1.05,-0.66,0.0,1.32,0.18,1.78,1.5
43,1.12,0.26,1.0,-0.82,-0.08,1.38,-0.9
44,1.64,-0.3,1.0,1.95,-0.28,2.38,1.67
45,1.72,-0.19,1.0,1.72,0.09,3.61,1.8
46,2.32,-0.71,0.0,0.62,1.47,2.18,2.09
47,2.72,-0.17,1.0,2.5,-0.22,3.42,2.28
48,1.67,1.95,1.0,3.36,0.48,4.26,3.84
49,1.89,-0.87,0.0,1.49,-0.69,-0.83,0.8
50,1.88,-0.59,0.0,2.91,-1.12,2.01,1.79
51,0.75,-0.29,1.0,0.62,0.1,1.49,0.72
52,4.27,-0.25,1.0,3.78,1.63,5.5,5.41
53,3.2,-1.61,1.0,2.05,-2.99,-1.28,-0.94
54,1.09,1.49,0.0,3.7,1.89,6.43,5.59
55,-0.09,0.21,1.0,1.46,-0.02,-0.33,1.44
56,1.33,0.43,1.0,2.56,0.87,2.39,3.43
57,3.03,0.41,0.0,4.0,1.1,4.19,5.11
58,1.58,-0.61,1.0,-0.14,-1.17,-4.59,-1.31
59,2.87,-0.01,1.0,2.61,-0.01,3.94,2.6
60,2.82,-0.54,1.0,3.45,0.41,1.38,3.86
61,3.13,-0.28,1.0,3.45,-1.61,2.58,1.84
62,0.38,-0.67,1.0,-1.17,-0.09,-0.5,-1.26
63,2.77,-1.71,1.0,0.19,-8.12,-8.4,-7.93
64,3.12,0.87,1.0,4.18,0.35,5.2,4.53
65,1.23,-0.86,1.0,3.18,0.29,4.43,3.47
66,2.29,0.75,1.0,4.35,-1.28,2.92,3.07
67,2.6,0.11,1.0,2.88,0.04,4.57,2.93
68,3.3,1.79,1.0,4.71,2.66,7.2,7.37
69,3.46,0.22,1.0,3.35,0.04,4.13,3.39
70,2.48,1.93,1.0,5.4,5.88,9.99,11.28
71,3.41,0.42,1.0,2.8,-0.41,2.15,2.39
72,2.17,1.12,1.0,2.73,0.98,3.88,3.71
73,1.55,-0.23,1.0,2.19,0.48,2.23,2.67
74,4.18,-0.67,1.0,3.22,-2.33,1.12,0.9
75,0.77,0.09,1.0,1.74,-0.05,0.82,1.69
76,3.07,1.33,1.0,3.92,8.03,11.66,11.95
77,4.01,2.18,1.0,6.42,-0.27,5.8,6.15
78,3.15,0.35,1.0,3.82,0.99,3.51,4.82
79,0.54,0.7,1.0,1.8,0.12,2.31,1.92
80,1.58,-1.62,0.0,0.42,-0.14,1.35,0.27
81,4.03,1.35,1.0,4.72,-4.66,0.19,0.07
82,2.25,-1.31,1.0,1.01,-1.96,-0.16,-0.95
83,4.02,-0.16,1.0,3.33,-0.1,1.45,3.23
84,1.07,-2.18,1.0,-1.21,2.63,3.31,1.42
85,0.85,0.96,1.0,2.18,0.45,3.27,2.63
86,1.87,-1.37,0.0,0.87,-0.76,-0.15,0.11
87,1.93,-2.65,1.0,-0.02,3.89,2.56,3.87
88,0.82,-0.7,0.0,-1.24,-0.51,-0.33,-1.75
89,1.18,0.62,1.0,1.6,-0.57,1.75,1.03
90,1.82,-0.3,1.0,1.58,-0.07,3.14,1.52
91,2.78,-0.81,0.0,4.36,2.61,6.95,6.98
92,1.25,1.18,1.0,2.9,-2.99,0.87,-0.09
93,0.69,-1.19,0.0,-2.03,-0.18,-0.34,-2.21
94,0.29,-1.36,0.0,0.23,0.52,-0.01,0.76
95,2.77,0.17,1.0,4.6,0.5,4.14,5.1
96,3.34,-0.83,1.0,2.44,0.45,3.24,2.9
97,2.78,0.48,1.0,2.24,-0.67,2.89,1.57
98,0.83,-0.72,0.0,0.29,-0.98,-0.76,-0.69
99,1.68,-0.37,1.0,1.51,0.66,1.93,2.17
100,1.76,-0.68,1.0,0.64,-1.23,0.51,-0.59
101,0.17,-0.05,1.0,-0.34,-0.01,0.84,-0.35
102,2.32,0.9,1.0,3.56,-2.53,0.71,1.03
103,0.49,0.67,1.0,1.99,0.23,2.38,2.22
104,1.15,-0.03,1.0,-0.01,0.0,-0.86,-0.0
105,1.4,-0.2,0.0,-0.57,-0.3,-0.97,-0.87
106,1.08,-0.95,1.0,1.56,0.99,4.19,2.55
107,2.88,-0.75,1.0,2.09,-1.29,-1.37,0.81
108,0.88,-0.93,1.0,-2.4,-0.13,-2.61,-2.53
109,1.93,-0.29,1.0,1.2,0.92,1.95,2.12
110,1.98,0.48,1.0,1.98,-1.05,1.41,0.93
111,2.29,0.49,1.0,2.67,-0.13,1.99,2.54
112,3.04,0.08,1.0,3.32,-0.33,2.82,2.99
113,0.8,0.32,0.0,0.48,-0.14,0.09,0.34
114,3.12,-0.55,1.0,1.1,1.0,2.12,2.1
115,1.39,-0.81,1.0,-0.14,-0.06,-0.06,-0.21
116,2.41,1.16,1.0,4.93,1.85,7.83,6.78
117,1.83,-1.89,1.0,-1.01,1.9,1.18,0.89
118,3.58,-0.25,0.0,2.87,0.48,3.96,3.35
119,1.16,0.35,1.0,-0.61,0.04,0.0,-0.57
120,1.8,1.29,1.0,3.71,-0.39,2.65,3.32
121,3.91,-1.08,1.0,2.89,6.65,8.83,9.54
122,2.23,-1.09,1.0,0.87,2.08,2.72,2.95
123,1.47,-0.67,0.0,0.71,0.19,-0.9,0.91
124,3.52,-1.5,1.0,2.15,-7.91,-4.94,-5.76
125,0.82,-0.53,1.0,-0.77,-0.68,-3.06,-1.45
126,3.12,-0.94,0.0,2.0,1.75,4.09,3.75
